URUN_REFNO|ADI|KATEGORI_REFNO|ALT_KATEGORI_REFNO|TEDARIKCI_REFNO|KDVSIZ_SATIS_FIYATI|KDVSIZ_ALIS_FIYATI|SATIS_KDV_ORANI|ALIS_KDV_ORANI|BARKODU|BIRIM1|BIRIM2|
2|CREATIVE INSPIRE 5200 5+1|1|1|2|89,54|0,0000|0|0|8692212121|ADET||
3|PHILIPS MMS221|3|4|2|18,15|0,0000|0|0|8692212121|ADET||
4|OZAKI EM696 3W RMS|3|5|2|6,534|0,0000|0|0|8692212121|ADET||
5|OZAKI DT100 12W RMS|1|1|2|17,545|0,0000|0|0|8692212121|ADET||
6|FRISBY SR-60DS|1|1|2|15,73|0,0000|0|0|8692212121|ADET||
7|AVERMEDIA RADYOLU TV KARTI|1|1|2|62,92|0,0000|0|0|8692212121|ADET||
8|AVERMEDIA USB TV KARTI|1|1|2|107,69|0,0000|0|0|8692212121|ADET||
9|LA CONTE BT878 RADYOLU|1|1|2|35,695|0,0000|0|0|8692212121|ADET||
10|INCA DIGITAL TV|1|1|2|71,39|0,0000|0|0|8692212121|ADET||
11|INCA DIGITAL TV KARTI +FM +CI|1|1|2|107,69|0,0000|0|0|8692212121|ADET||
12|KINGSTON 256MB. USB 2.0|1|1|2|31,46|0,0000|0|0|8692212121|ADET||
13|OEM 128MB USB 2.0 FLASH DISK|1|1|2|22,99|0,0000|0|0|8692212121|ADET||
14|OEM 256MB USB 2.0 FLASH DISK|1|1|2|32,67|0,0000|0|0|8692212121|ADET||
15|OEM 512MB USB 2.0 FLASH DISK|1|1|2|55,66|0,0000|0|0|8692212121|ADET||
16|POWERCOM 600A|1|1|2|36,3|0,0000|0|0|8692212121|ADET||
17|LEXMARK Z-815 INKJET|1|1|2|89,54|0,0000|0|0|8692212121|ADET||
18|LEXMARK X1180 OFFICEJET|1|1|2|102,85|0,0000|0|0|8692212121|ADET||
19|LEXMARK X2250 OFFICEJET|1|1|2|114,95|0,0000|0|0|8692212121|ADET||
20|LEXMARK X6170 OFFICEJET|1|1|2|217,8|0,0000|0|0|8692212121|ADET||
21|LEXMARK F4270 OFFICEJET|1|1|2|180,29|0,0000|0|0|8692212121|ADET||
22|LEXMARK E232 LASER|1|1|2|151,25|0,0000|0|0|8692212121|ADET||
23|HP 3745 INKJET|1|1|2|71,39|0,0000|0|0|8692212121|ADET||
24|HP 4255 OFFICEJET|1|1|2|204,49|0,0000|0|0|8692212121|ADET||
25|HP 7130 OFFICEJET|1|1|2|620,048|0,0000|0|0|8692212121|ADET||
26|HP PSC 1215 OFFICEJET|1|1|2|111,32|0,0000|0|0|8692212121|ADET||
27|HP PSC 2410 OFFICEJET|1|1|2|358,446|0,0000|0|0|8692212121|ADET||
28|HP PHOTOSMART P7760 PHOTO|1|1|2|154,726|0,0000|0|0|8692212121|ADET||
29|HP PHOTOSMART P7960 PHOTO|1|1|2|341,748|0,0000|0|0|8692212121|ADET||
30|HP 450CI INKJET|1|1|2|308,748|0,0000|0|0|8692212121|ADET||
